-- -*- haskell -*-
[ (1   ,"Nem értem. Próbálkozz mással! ")
, (80  ,"Inkább ne! Lehet, hogy segíthed neked. ")
, (81  ,"A csapóajtó csukva van. ")
, (82  ,"Már megtetted. ")
, (83  ,"A bárkád kifut a tengerre. ")
, (84  ,"Szörnyű viharba kerültél. ")
, (85  ,"A vihar darabokra töri a bárkád. ")
, (86  ,"Át tudsz mászni rajta. ")
, (87  ,"Pénzt találtál benne! ")
, (88  ,"Megölted egy szimpla ütéssel. ")
, (89  ,"- Szolgálhatok néhány érdekes információval Hakairól... de most nagyon éhes vagyok... ")
, (90  ,"- Köszönöm, uram! Nos... Valamikor én készítettem el a titkos átjárókat Hakai házában... Ez a 'kulcs' minden titkos ajtót nyit. - mondja a koldus és átnyújt neked egy hatszögletű hasábot. ")
, (91  ,"Valaki egy kést dob a hátadba. ")
, (92  ,"Ez majd feltartja az üldözőket... ")
, (93  ,"Eléggé inog... ")
, (94  ,"Tele van meleg, illatozó lepényekkel. ")
, (95  ,"Sűrű, fehér füst csap fel. ")
, (96  ,"Nincs pénzed! ")
, (97  ,"Tolvaj! Fogják meg! - kiabál a lepényárus. ")
, (98  ,"Kezdesz éhes lenni. ")
, (99  ,"Nagyon éhes vagy! ")
, (100 ,"A skorpió megcsípett... ")
, (101 ,"A kígyó megmart... ")
, (102 ,"Nagyon finom. ")
, (103 ,"Beleestél egy szakadékba... ")
, (104 ,"Ez lehetetlen! ")
, (105 ,"Feldobod a kötelet, de visszaesik. ")
, (106 ,"Rákötözöd a kötelet a bambuszrúdra, majd feldobod. A bambusz szerencsésen beékelődok két szikla közé. ")
, (107 ,"Könnyedén hárítja az ütéseid. ")
, (108 ,"- Gyere, fiam! Itt megismerheted a test és a lélek törvényeit és lehetőségeit... Követed a szerzetest és többhónapos tanulással megtanulsz uralkodni a tested és szellemed felett. ")
, (109 ,"A shuriken megsebzi az egyiket. ")
, (110 ,"Mi van? Szögbe léptél? ")
, (111 ,"A rablók fejvesztve menekülnek... Elvágod a lány köteleit, majd elkíséred őt az apja házáig. ")
, (112 ,"Egy gyertyát tartasz a szádban. ")
, (113 ,"Minden holmidat elvették és a cella sarkába dobták. ")
, (114 ,"Szétégetted a köteleket... ")
, (115 ,"Kicsalogatod a macskát a bokor alól az egérrel, majd elkapod. ")
, (116 ,"A rablók megöltek. ")
, (117 ,"Hao Sin nem ellenkezne, de hát itt van az apja is... ")
, (118 ,"De ő egy kung-fu mester! ")
, (119 ,"- Sok szerencsét! ")
, (120 ,"- Megtanítalak a kung-fu sárkány stílusára... ha meg akarod tanulni... ")
, (121 ,"Egy év alatt kemény edzésekkel mesterszintet értél el a kung-fu-ban. ")
, (122 ,"Kinek adod a virágot? ")
, (123 ,"- Köszönöm. ")
, (124 ,"Megsebesülsz... ")
, (125 ,"Szétzavartad a verekedőket. ")
, (126 ,"Készítettél egy szigonyt. ")
, (127 ,"A kutyák a közeledben vannak... ")
, (128 ,"Rádugranak és átharapják a torkod... ")
, (129 ,"Leütötted. ")
, (130 ,"Betömted a száját a gyeryával. ")
, (131 ,"A rab megköszöni, hogy kiszabadítottad, majd elszalad. ")
, (132 ,"Még védekezni sem tud... ")
, (133 ,"Ez egy tolóajtó. ")
, (134 ,"Hirtelen hátrafordulsz és torkon rúgod... Összecsuklik és nem mozdul többet. ")
, (135 ,"Belevágod a szigonyt a hátába. ")
, (136 ,"Behúzol neki egyet, mire összeesik... ")
, (137 ,"Kiöntesz egy kis puskaport és ráhelyezed a hordót. ")
, (138 ,"Elengeded a macskát... Őrülten rohanni kezd... a kutyák meg utána... ")
, (139 ,"A kertet látod. ")
, (140 ,"Nusumu, az osonó yakuza áll az ablak alatt. ")
, (141 ,"Káromkodást hallasz lentről. ")
, (142 ,"A kaput látod. ")
, (143 ,"Odadobod a fáklyát a kapuhoz... ")
, (144 ,"A puskapor begyullad... Majd egy óriási robbanást hallasz a kapu felől. ")
, (145 ,"Egy őrt látsz a keresztfolyosón. Épp háttal áll neked... ")
, (146 ,"Amint kinézel a keresztfolyosóra, egy őr észrevesz és belevágja a lándzsáját a fejedbe. ")
, (147 ,"Agyonrúgtad. ")
, (148 ,"Megállítanak. ")
, (149 ,"Látsz valamit a tóban. ")
, (150 ,"Találtál valamit! ")
, (151 ,"Egy hatszögletű mélyedést látsz rajta. ")
, (152 ,"Előránt egy kardot és rádtámad. ")
, (153 ,"Nincs megfelelő fegyvered, így pillanatok alatt végez veled... ")
, (154 ,"Kiüti a kardot a kezedből és nekedszögezi a kardját. ")
, (155 ,"Hirtelen Hao Sin és a rab ugrik ki a csapóajtón. Segítenek neked megölni Hakait, a város zsarnokát... ")
, (156 ,"Megölöd, majd levágod a fejét... ")
, (157 ,"Megbosszultad végre apád halálát! ")
, (158 ,"- Ez a játék Japánban játszódik a középkorban. A japánok nagyon vérszomjasak voltak azokban az időkben! Legyél nagyon óvatos és használd gyakran a QSAVE és a BOM funkciót! Sok szerencsét! ")
, (159 ,"  Kitalálta, kidolgozta, megtervezte megrajzolta, szkriptelte: Rátkai István\n\nTVC-re programozta: Érdi Gergő")
, (160 ,"A cápa rádtámad és leharapja a fejed... ")
, (161 ,"Megölted a cápát a szigonnyal. ")
, (162 ,"Puszta kézzel? ")
, (163 ,"Egy ismerős kikötőben érsz partot. ")
, (164 ,"Túl erős. ")
, (165 ,"A lábadba irányítod az összes erődet, majd egy irtózatos rúgással ripityára töröd az ajtót. ")
, (166 ,"A skorpió megcsípte a yakuzát, aki hang nélkül összecsuklott. ")
, (167 ,"Kifeszítetted az ajtót a feszítővassal. ")
, (168 ,"A felrobbant kaput látod. ")
, (169 ,"Egy gyűrűt találtál. ")
, (170 ,"Ússz! ")
, (171 ,"Egy barátságos kis falu volt... ")
, (172 ,"Egy izzó gerendát látsz. ")
, (173 ,"Zárva az ajtó. ")
, (174 ,"Nyitva van. ")
, (175 ,"Hogy? ")
, (176 ,"Megölted őt. ")
, (177 ,"Booooommmmmm!!! ")
, (178 ,"Csukva van az ajtó. ")
, (179 ,"Valaki egy lándzsát dob a hátadba. ")
, (180 ,"Az őrök megöltek. ")
, (181 ,"Oh! Ez egy titkos forgóajtó! ")
, (182 ,"Őrök jelennek meg és megölnek... ")
, (183 ,"... vagy mégsem? ")
, (184 ,"Harcolsz vele... ")
, (185 ,"A szívedbe mártja a kardját. ")
, (186 ,"Puszta kézzel? ")
, (187 ,"Elvonult a vihar... ")
, (188 ,"Egy szörnyű üvöltést hallasz a pincéből. ")
, (189 ,"Puskaporos hordónak látszik. ")
, (190 ,"Nincs kulcsod. ")
, (191 ,"Valaki leszúr hátulról. ")
, (192 ,"Ez egy jó ötlet, de nem teheted meg mert ez egy megtört változata a programnak. ")
, (193 ,"Túl erős. ")
, (194 ,"Hogy? ")
, (195 ,"Régi és ütött-kopott. ")
, (196 ,"Elegáns, jóképű, intelligens, stb, stb... és ő ennek a programnak az írója... ")
, (197 ,"Ez tényleg egy folyó. ")
, (198 ,"Próbáld puszta kézzel! ")
, (199 ,"Milyen szörnyű látvány! ")
, (200 ,"Próbálj átjutni rajta! ")
, (201 ,"Túl magas! ")
, (202 ,"Lehet, hogy fel tudsz mászni... de lehet, hogy nem... ")
, (203 ,"Magas és erős. ")
, (204 ,"Azt hiszem egy hajó sokkal kényelmeseb lenne! ")
, (205 ,"Hé! Ez a tenger! ")
, (206 ,"Nem láttál még tengerpartot? ")
, (207 ,"Nincs válasz. ")
, (208 ,"Te meg egy kétbalkezes, mocskosszájú, fantáziátlan, billentyűzetkoptató vagy!!! ")
, (209 ,"Analfabéta vagy! ")
, (210 ,"Ugrándozás helyett inkább játszd végig ezt az adventure-t! ")
, (211 ,"Fárasztó munka... ")
, (212 ,"Csak! ")
, (213 ,"Ez nem segít! ")
, (214 ,"Ez tényleg egy fa! ")
, (215 ,"Egy tipikus japán kisváros. ")
, (216 ,"Ez egy leégett ház. ")
, (217 ,"- Te egy igazi hős vagy! ")
, (218 ,"Ez egy vitorlás bárka... ")
, (219 ,"Keményebben! ")
]
