-- -*- haskell -*-
[ (1   ,"Egy barátságos kis szobában vagy. Egy fiatal srác ül egy HomeLab-3 előtt. Hirtelen hátrafordul és beszélni kezd: ")
, (42  ,"A szikla tetején állsz a kolostor bejárata előtt. ")
, (43  ,"A kolostor udvarán állsz. A kijárat délre van. Egy szerzetes áll előtted. ")
, (44  ,"Egy erdei ösvényen gyalogolsz. Az ösvény nyugatról keletre vezet. ")
, (45  ,"Egy tisztáson állsz. Ösvények indulnak északra és keletre. ")
, (46  ,"Egy kunyhó előtt állsz. Egy hosszúszakállú öregember áll a kunyhó mellett. Ösvény vezet délkeletre. ")
, (47  ,"Egy börtöncellában vagy. Össze vagy kötözve és fejjel lefelé lógsz egy kötélen. ")
, (48  ,"A pincében vagy. Ajtók nyílnak keletre és délre és egy sötét folyosó vezet nyugat felé. ")
, (49  ,"Egy dohos és homályos északnyugat-délkeleti folyosón vagy. ")
, (50  ,"Egy folyosón állsz egy súlyos faajtó előtt. Az ajtó keletre van. Északra és délre tudsz menni a folyosón. ")
, (51  ,"Egy kis helyiségben vagy. Raktárszobának látszik. ")
, (52  ,"Keresztfolyosóhoz értél. Északra, keletre, délre és nyugatra mehetsz. ")
, (53  ,"A katonák hálószobájában vagy. Egy asztalt látsz a sarokban üvegekkel és poharakkal. ")
, (54  ,"A hátsó lépcső alján állsz. Egy folyosó vezet dél felé. ")
, (55  ,"Egy kelet-nyugati folyosón vagy. Egy ajtó vezet délre a kertbe. ")
, (56  ,"A folyosó nyugati végén állsz egy lépcsőnél. ")
, (57  ,"A kertben vagy. ")
, (58  ,"A kertben vagy, nyugatra a kerítéstől. ")
, (59  ,"A kertben vagy, egy kis tó mellett. ")
, (60  ,"A kapunál vagy. Ösvények vezetnek északkeletre, keletre és délkeletre. ")
, (61  ,"A tóban vagy. ")
, (62  ,"Egy női hálószobában vagy. Az ajtó délre van. ")
, (63  ,"A folyosó nyugati végén vagy. Egy ajtót látsz észak felé. ")
, (64  ,"Egy hosszú kelet-nyugati folyosón állsz a lépcső mellett. Egy ablak van itt, amely a kertre néz. ")
, (65  ,"A kelet-nyugati folyosó közepén állsz egy ablak előtt. ")
, (66  ,"A hátsó lépcső tetején állsz. Egy létra vezet felfelé és egy folyosó délre. ")
, (67  ,"Az őrtoronyban vagy. Rálátsz innen az egész kertre. ")
, (68  ,"Egy kis szobában vagy. Oh! Egy csomó katona van itt! ")
, (69  ,"Egy észak-déli folyosón vagy. ")
, (70  ,"A folyosó déli végében állsz. Ajtók nyílnak keletre és délre. ")
, (71  ,"A fal tetején állsz. Egy ajtó vezet északra az épületbe. ")
, (72  ,"A tea-szobában vagy. Egy nagy szekrényt látsz. Ajtók vezetnek északra és délre. ")
, (73  ,"Hakai dolgozószobájában vagy. Egy fekete faliszekrényt látsz. Ajtók vannak északra és nyugatra. Egy széles ablakot látsz keletre. ")
, (74  ,"Kiabálást és lódobogást hallasz a falu felől... ")
, (75  ,"Egy szikra pattan egy izzó gerendáról a ruhádra és meggyújtja azt. Elevenen elégsz... ")
, (76  ,"Egy ember fekszik a földön. ")
, (77  ,"Egy vándor áll az út szélén. ")
, (78  ,"Egy őr áll a kapu előtt. ")
, (79  ,"Felfegyverzett katonák vesznek körül. ")
, (80  ,"Tomodachi van itt. ")
, (81  ,"Egy alakot látsz a falon. ")
, (82  ,"Egy csinos lány van itt. ")
, (83  ,"Valami zajt hallasz! ")
, (84  ,"Oshinoko, a néma yakuza áll veled szemben. ")
, (85  ,"Két ninja áll az úton. ")
, (86  ,"Egy ninja-mester van itt. ")
, (87  ,"Egy felcsavart vitorla fekszik a parton. ")
, (88  ,"Egy koldust látsz a sarkon ücsörögni. ")
, (89  ,"Dühös városiak vesznek körül. ")
, (90  ,"Oh! Egy utcai verekedés! ")
, (91  ,"Egy óriási kígyó tekereg előtted. ")
, (92  ,"Egy kötél lóg le a szikláról. ")
, (93  ,"Egy fához kötözött lányt látsz. Két rabló áll a lány mellett. ")
, (94  ,"Hao Sin van itt. ")
, (95  ,"Egy börtön-cellában vagy. ")
, (96  ,"Egy őr van itt. ")
, (97  ,"Egy eszméletlen őr van itt. ")
, (98  ,"Egy megkötözött őr van itt. ")
, (99  ,"Egy rab van a falhoz láncolva. ")
, (100 ,"Egy börtön-cellában vagy. A kijárat nyugatra van. ")
, (101 ,"Valaki leszúrt hátulról. ")
, (102 ,"Egy őr áll a falon. Nem vett észre téged! ")
, (103 ,"Egy megrémült őr áll veled szemben. ")
, (104 ,"Két vérszomjas véreb vicsorog rád. ")
, (105 ,"Egy kis puskapor és egy hordó van a kapu előtt. ")
, (106 ,"Látod a Japán partokat északkelet felé! ")
, (107 ,"Egy gyertyát látsz a falon. ")
, (108 ,"Ő leszúr téged. ")
, (109 ,"Egy titkos földalatti átjáróban vagy. Keletre és nyugatra mehetsz. ")
, (110 ,"Egy napfényes tisztáson állsz egy titkos csapóajtó mellett. ")
, (111 ,"Hakai áll itt. ")
, (112 ,"Egy halott őrt látsz itt. ")
, (113 ,"Két őr zárja el az utat. ")
, (114 ,"Egy napfényes tisztáson állsz. Ösvények vezetnek délre és északnyugatra. ")
, (115 ,"Valami illatot érzel... ")
, (116 ,"A viharos tengerben vagy. ")
, (117 ,"Egy törött árbóc úszik melletted. ")
, (118 ,"A napfényes tengerben úszol egy árbócdarabba kapaszkodva. ")
, (119 ,"Egy cápa köröz körülötted... ")
, (120 ,"egy vödör ")
, (121 ,"egy kés ")
, (122 ,"egy bambusz ")
, (123 ,"egy egér ")
, (124 ,"egy lámpa ")
, (125 ,"egy gyűrű ")
, (126 ,"egy levél ")
, (127 ,"egy kötél ")
, (128 ,"egy ásó ")
, (129 ,"egy shuriken ")
, (130 ,"egy kis láda ")
, (131 ,"pénz ")
, (132 ,"egy altató pirula ")
, (133 ,"egy füstbomba ")
, (134 ,"egy darab vászon ")
, (135 ,"egy üveg ")
, (136 ,"egy macska ")
, (137 ,"egy ék ")
, (138 ,"egy hosszú bot ")
, (139 ,"egy lepény ")
, (140 ,"egy darab madzag ")
, (141 ,"egy kő ")
, (142 ,"egy döglött kígyó ")
, (143 ,"egy skorpió vászonba csavarva ")
, (144 ,"néhány virág ")
, (145 ,"egy szigony ")
, (146 ,"egy hatszögletű hasáb ")
, (147 ,"egy gyertya ")
, (148 ,"egy fáklya ")
, (149 ,"egy kulcs ")
, (150 ,"egy kis hordó ")
, (151 ,"egy tükör ")
, (152 ,"egy illatszeres fiola ")
, (153 ,"egy feszítővas ")
, (154 ,"egy erős kard ")
, (155 ,"a ")
, (156 ,"a ")
, (157 ,"a ")
, (158 ,"a ")
, (159 ,"a ")
, (160 ,"Oh! Egy új játékos! Köszöntelek a programomban! A küldetésed akkor kezdődik, mikor kilépsz a mögötted lévő ajtón! Beszélj mindenkivel és mindent vizsgálj meg! ")
, (161 ,"Hello! Azt hiszem végzetes hibát követtél el. Remélem, tudod mi volt az és legközelebb több sikerrel jársz! ")
, (162 ,"Egy nagy bezárt ajtót látsz északra. ")
, (163 ,"Légy óvatos! ")
, (164 ,"Lehet, hogy ő tud valamit a támadókról... ")
, (165 ,"Emlékezz István szavaira! ")
, (166 ,"Kopogj be! ")
, (167 ,"Használd a szemed! ")
, (168 ,"Nem fog itt állni örökké... ")
, (169 ,"Az a feladatod, hogy megöld Hakait. ")
, (170 ,"A ninják kíváló harcosok. ")
, (171 ,"Lehet, hogy szükséged lesz egy darab vászonra... ")
, (172 ,"Légy könyörületes! ")
, (173 ,"Tűnj el, mint egy ninja... ")
, (174 ,"Mit csinálsz, ha szükséged van valamire, de nics pénzed? ")
, (175 ,"Használj valami fegyvert és csinálj úgy, mintha kung-fu mester lennél! ")
, (176 ,"Öld meg és ne legyél finnyás! ")
, (177 ,"Öld meg! ")
, (178 ,"Te nem tudod megölni... De egy kis állat... ")
, (179 ,"Azt hiszem, egy nagy robbanás jó jelzés lenne... ")
, (180 ,"Egy üvöltést hallasz a pince felől. Katonák vesznek körül és megölnek... ")
, (181 ,"A katonák és a felkelők harcolnak körülötted. ")
, (182 ,"A katonák megölnek. ")
, (183 ,"Egy egér futkos a fal mellett. ")
, (184 ,"Sötét van. ")
, (185 ,"Itt egy lámpa. ")
, (186 ,"Egy lány van itt. Beszél hozzád: - Alig hiszem el, hogy élsz. A katonák kegyetlenül összevertek és kidobtak az emeletről. Nagyon szerencsés voltál. De most aludnod kell... ")
, (187 ,"Elalszol. ")
, (188 ,"Felébredtél. Sokkal erősebbnek érzed magad. ")
, (189 ,"A kormányos itt áll. ")
, (190 ,"Csukva a csapóajtó. ")
, (191 ,"Megöltek téged. ")
, (192 ,"Egy macskát látsz az egyik bokor alatt. ")
, (193 ,"Hallod az üldözők lépteit magad mögött. ")
, (194 ,"Az üldözők utolértek. ")
, (195 ,"Az üldözők lemaradtak. ")
, (196 ,"Egy skorpió van a kövek között. ")
, (197 ,"Éhen haltál... ")
, (198 ,"Egy alvó őr fekszik az ajtó előtt. ")
, (199 ,"Ha be akarsz menni, gépeld be a tájékoztató első példamondatát! ")
, (200 ,"Ha ki akarsz menni a kertbe, gépeld be a tájékoztató harmadik példamondatát! ")
, (201 ,"Két őr áll előtted. ")
, (202 ,"Bevered a fejed valamibe...")
]
